2019-10-23 15:58:51,650 [WARN ]  (DeprecationWarning.java.verifyIndirectTypes:70) - Using indirect @Deprecated Class org.springframework.web.util.Log4jConfigListener - (seen from class com.tscloud.portal.utils.LoggerIntergrationListener)
2019-10-23 16:24:50,962 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IThemeImgProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IThemeImgProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536767 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,014 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IComponentsProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IComponentsProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817535717 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,015 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataProvider&methods=findByMap,findById,saveData,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817535785 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,016 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IThemeImgProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IThemeImgProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536767 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,073 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsCatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsCatalogProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817535902 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,074 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IComponentsProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IComponentsProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817535717 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,075 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ILayoutProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ILayoutProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536171 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,076 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsCatalogProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsCatalogProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536670 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,077 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataProvider&methods=findByMap,findById,saveData,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536597 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:51,078 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IComponentsProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IComponentsProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536540 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
